"","Apr","Aug","Feb","Jan","Jul","Jun","Mar","May","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,49,34.1,0.0529411764705882
"99",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,46.5,43,0.0455882352941176
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,43,41.5,0.0147058823529412
"101",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,45.1,30.4,0.0323529411764706
"102",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,44.1,30.8,0.0411764705882353
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,45.9,31.8,0.0191176470588235
"104",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,51.6,48.9,0.0647058823529412
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,50.5,42.1,0.0617647058823529
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,44.7,39.1,0.0661764705882353
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,43.7,30.9,0.0647058823529412
"108",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,42.2,20.9,0.0941176470588235
"109",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,41,37,0.0470588235294118
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,44.3,35.7,0.0132352941176471
"111",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,46.8,39.4,0.0691176470588235
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,42.4,33,0.0397058823529412
"113",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,42,25.3,0.0808823529411765
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,42.8,20.9,0.0220588235294118
"115",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,46.3,42.8,0.116176470588235
"116",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,47.7,36.3,0.0867647058823529
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2020,45.3,40.9,0.0691176470588235
"118",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,46.3,34,0.0558823529411765
"119",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,41.8,28.8,0.135294117647059
"120",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020,46.9,35.8,0.0647058823529412
"121",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,46.8,41.4,0.117647058823529
"122",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2020,51.3,49.1,0.136764705882353
"123",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2020,51.4,43,0.139705882352941
"124",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2020,51.3,45.8,0.108823529411765
"125",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2020,56.3,46.2,0.117647058823529
"126",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2020,51.5,36.4,0.119117647058824
"127",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2020,45.6,37.8,0.133823529411765
"128",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2020,46.3,40.4,0.120588235294118
"129",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2020,51,40.5,0.122058823529412
"130",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2020,46.2,33.2,0.0794117647058823
"131",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2020,46,27,0.1
"132",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2020,50.6,42.9,0.117647058823529
"133",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2020,49.6,39.4,0.144117647058824
"134",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2020,48.8,26.8,0.175
"135",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2020,51.6,37.5,0.114705882352941
"136",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2020,54.1,50.2,0.219117647058824
"137",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2020,57.6,50.3,0.180882352941176
"138",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2020,49.4,42.9,0.114705882352941
"139",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2020,52.5,45.9,0.135294117647059
"140",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2020,51.7,41.2,0.2
"141",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2020,49.9,36.8,0.145588235294118
"142",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2020,48.3,42.3,0.173529411764706
"143",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2020,57,52.1,0.251470588235294
"144",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2020,56.4,55,0.147058823529412
"145",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2020,51.7,45.8,0.152941176470588
"146",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2020,56,52.4,0.176470588235294
"147",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2020,58.2,56,0.191176470588235
"148",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2020,57.4,56.2,0.214705882352941
"149",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2020,60.2,57.5,0.170588235294118
"150",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2020,61,59.8,0.242647058823529
"151",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2020,60.4,59.1,0.195588235294118
"152",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2020,61.5,48.6,0.169117647058824
"153",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2020,55.4,38.1,0.151470588235294
"154",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,57.1,46.6,0.152941176470588
"155",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020,59.2,56.3,0.179411764705882
"156",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2020,64.4,60.4,0.222058823529412
"157",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020,60.4,58.9,0.227941176470588
"158",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2020,61.2,59.5,0.245588235294118
"159",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,62.2,56.2,0.166176470588235
"160",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2020,62.6,51.1,0.207352941176471
"161",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,61.9,55.5,0.232352941176471
"162",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020,60.3,56.9,0.213235294117647
"163",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2020,63.6,60.1,0.229411764705882
"164",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020,63.1,61.3,0.269117647058824
"165",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2020,62.5,53.1,0.277941176470588
"166",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,60.9,51.4,0.2
"167",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2020,58.3,53.4,0.189705882352941
"168",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,59.9,51.5,0.244117647058824
"169",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2020,61.2,53.9,0.222058823529412
"170",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2020,59.8,59.4,0.195588235294118
"171",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2020,63.9,61.5,0.311764705882353
"172",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2020,64.8,61.5,0.222058823529412
"173",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2020,65.2,62.5,0.220588235294118
"174",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2020,68.6,63.4,0.297058823529412
"175",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020,63.5,61.3,0.289705882352941
